heads,mapped,type,response col
Philanthropy,Philanthropy,response,Program 3 Equity Topics
Reparations,Reparations,response,Program 3 Equity Topics
Reproductive Justice,Reproductive Justice,response,Program 3 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Program 3 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Program 3 Equity Topics
Other (please specify),Other (please specify),response,Program 3 Equity Topics
"Please enter a brief description of your racial equity program named {{ Q32 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Program 3 Description,column,
How long has {{ Q32 }} been operational? ,Program 3 Years Operational,column,
Would you like to report another program?,,,
Please enter the name of the program. ,Program 4 Name,column,
"Please select the main industry/sector of your racial equity program, named {{ Q38 }}. ",Program 4 Industry Area,column,
Workplace Culture,Workplace Culture,response,Program 4 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Program 4 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Program 4 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Program 4 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Program 4 Equity Topics
Criminal Justice,Criminal Justice,response,Program 4 Equity Topics
Employment and Labor,Employment and Labor,response,Program 4 Equity Topics
Environmental Justice,Environmental Justice,response,Program 4 Equity Topics
Food Justice,Food Justice,response,Program 4 Equity Topics
Health and Healthcare,Health and Healthcare,response,Program 4 Equity Topics
Housing,Housing,response,Program 4 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Program 4 Equity Topics
Language Justice,Language Justice,response,Program 4 Equity Topics
Media & Technology,Media & Technology,response,Program 4 Equity Topics
Philanthropy,Philanthropy,response,Program 4 Equity Topics
Reparations,Reparations,response,Program 4 Equity Topics
Reproductive Justice,Reproductive Justice,response,Program 4 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Program 4 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Program 4 Equity Topics
Other (please specify),Other (please specify),response,Program 4 Equity Topics
"Please enter a brief description of your racial equity program named {{ Q38 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Program 4 Description,column,
How long has {{ Q38 }} been operational? ,Program 4 Years Operational,column,
Would you like to report another program?,,,
Please enter the name of the program. ,Program 5 Name,column,
"Please select the main industry/sector of your racial equity program, named {{ Q44 }}. ",Program 5 Industry Area,column,
Workplace Culture,Workplace Culture,response,Program 5 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Program 5 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Program 5 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Program 5 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Program 5 Equity Topics
Criminal Justice,Criminal Justice,response,Program 5 Equity Topics
Employment and Labor,Employment and Labor,response,Program 5 Equity Topics
Environmental Justice,Environmental Justice,response,Program 5 Equity Topics
Food Justice,Food Justice,response,Program 5 Equity Topics
Health and Healthcare,Health and Healthcare,response,Program 5 Equity Topics
Housing,Housing,response,Program 5 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Program 5 Equity Topics
Language Justice,Language Justice,response,Program 5 Equity Topics
Media & Technology,Media & Technology,response,Program 5 Equity Topics
Philanthropy,Philanthropy,response,Program 5 Equity Topics
Reparations,Reparations,response,Program 5 Equity Topics
Reproductive Justice,Reproductive Justice,response,Program 5 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Program 5 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Program 5 Equity Topics
Other (please specify),Other (please specify),response,Program 5 Equity Topics
"Please enter a brief description of your racial equity program named {{ Q44 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Program 5 Description,column,
How long has {{ Q44 }} been operational? ,Program 5 Years Operational,column,
Does your organization use policy or policy initiatives in its work to achieve racial equity? ,"Policy or Policy Initiative (Policy: �a set of ideas or plans that is used as a basis for making decisions, especially in politics, economics, or business.� Initiative: �an important act or statement that is intended to solve a problem.�) ",response,Type of Racial Equity Work
Does your organization have more than one policy or policy initiative to advance racial equity? ,More than One Policy,column,
Please enter the name of the policy or policy initiative. ,Policy 1 Name,column,
"Please select the main industry/sector of your racial equity policy or policy initiative, named {{ Q51 }}. ",Policy 1 Industry Area,column,
Workplace Culture,Workplace Culture,response,Policy 1 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Policy 1 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Policy 1 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Policy 1 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Policy 1 Equity Topics
Criminal Justice,Criminal Justice,response,Policy 1 Equity Topics
Employment and Labor,Employment and Labor,response,Policy 1 Equity Topics
Environmental Justice,Environmental Justice,response,Policy 1 Equity Topics
Food Justice,Food Justice,response,Policy 1 Equity Topics
Health and Healthcare,Health and Healthcare,response,Policy 1 Equity Topics
Housing,Housing,response,Policy 1 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Policy 1 Equity Topics
Language Justice,Language Justice,response,Policy 1 Equity Topics
Media & Technology,Media & Technology,response,Policy 1 Equity Topics
Philanthropy,Philanthropy,response,Policy 1 Equity Topics
Reparations,Reparations,response,Policy 1 Equity Topics
Reproductive Justice,Reproductive Justice,response,Policy 1 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Policy 1 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Policy 1 Equity Topics
Other (please specify),Other (please specify),response,Policy 1 Equity Topics
"Please enter a brief description of your racial equity policy or policy initiative named {{ Q51 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Policy 1 Description,column,
How long has {{ Q51 }} been operational? ,Policy 1 Years Operational,column,
Would you like to report another policy or policy initiative?,,,
Please enter the name of the policy or policy initiative. ,Policy 2 Name,column,
"Please select the main industry/sector of your racial equity policy or policy initiative, named {{ Q57 }}. ",Policy 2 Industry Area,column,
Workplace Culture,Workplace Culture,response,Policy 2 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Policy 2 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Policy 2 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Policy 2 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Policy 2 Equity Topics
Criminal Justice,Criminal Justice,response,Policy 2 Equity Topics
Employment and Labor,Employment and Labor,response,Policy 2 Equity Topics
Environmental Justice,Environmental Justice,response,Policy 2 Equity Topics
Food Justice,Food Justice,response,Policy 2 Equity Topics
Health and Healthcare,Health and Healthcare,response,Policy 2 Equity Topics
Housing,Housing,response,Policy 2 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Policy 2 Equity Topics
Language Justice,Language Justice,response,Policy 2 Equity Topics
Media & Technology,Media & Technology,response,Policy 2 Equity Topics
Philanthropy,Philanthropy,response,Policy 2 Equity Topics
Reparations,Reparations,response,Policy 2 Equity Topics
Reproductive Justice,Reproductive Justice,response,Policy 2 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Policy 2 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Policy 2 Equity Topics
Other (please specify),Other (please specify),response,Policy 2 Equity Topics
"Please enter a brief description of your racial equity policy or policy initiative named {{ Q57 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Policy 2 Description,column,
How long has {{ Q57 }} been operational? ,Policy 2 Years Operational,column,
Would you like to report another policy or policy initiative?,,,
Please enter the name of the policy or policy initiative. ,Policy 3 Name,column,
"Please select the main industry/sector of your racial equity policy or policy initiative, named {{ Q63 }}. ",Policy 3 Industry Area,column,
Workplace Culture,Workplace Culture,response,Policy 3 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Policy 3 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Policy 3 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Policy 3 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Policy 3 Equity Topics
Criminal Justice,Criminal Justice,response,Policy 3 Equity Topics
Employment and Labor,Employment and Labor,response,Policy 3 Equity Topics
Environmental Justice,Environmental Justice,response,Policy 3 Equity Topics
Food Justice,Food Justice,response,Policy 3 Equity Topics
Health and Healthcare,Health and Healthcare,response,Policy 3 Equity Topics
Housing,Housing,response,Policy 3 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Policy 3 Equity Topics
Language Justice,Language Justice,response,Policy 3 Equity Topics
Media & Technology,Media & Technology,response,Policy 3 Equity Topics
Philanthropy,Philanthropy,response,Policy 3 Equity Topics
Reparations,Reparations,response,Policy 3 Equity Topics
Reproductive Justice,Reproductive Justice,response,Policy 3 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Policy 3 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Policy 3 Equity Topics
Other (please specify),Other (please specify),response,Policy 3 Equity Topics
"Please enter a brief description of your racial equity policy or policy initiative named {{ Q63 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Policy 3 Description,column,
How long has {{ Q63 }} been operational? ,Policy 3 Years Operational,column,
Would you like to report another policy or policy initiative?,,,
Please enter the name of the policy or policy initiative. ,Policy 4 Name,column,
"Please select the main industry/sector of your racial equity policy or policy initiative, named {{ Q69 }}. ",Policy 4 Industry Area,column,
Workplace Culture,Workplace Culture,response,Policy 4 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Policy 4 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Policy 4 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Policy 4 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Policy 4 Equity Topics
Criminal Justice,Criminal Justice,response,Policy 4 Equity Topics
Employment and Labor,Employment and Labor,response,Policy 4 Equity Topics
Environmental Justice,Environmental Justice,response,Policy 4 Equity Topics
Food Justice,Food Justice,response,Policy 4 Equity Topics
Health and Healthcare,Health and Healthcare,response,Policy 4 Equity Topics
Housing,Housing,response,Policy 4 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Policy 4 Equity Topics
Language Justice,Language Justice,response,Policy 4 Equity Topics
Media & Technology,Media & Technology,response,Policy 4 Equity Topics
Philanthropy,Philanthropy,response,Policy 4 Equity Topics
Reparations,Reparations,response,Policy 4 Equity Topics
Reproductive Justice,Reproductive Justice,response,Policy 4 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Policy 4 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Policy 4 Equity Topics
Other (please specify),Other (please specify),response,Policy 4 Equity Topics
"Please enter a brief description of your racial equity policy or policy initiative named {{ Q69 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Policy 4 Description,column,
How long has {{ Q69 }} been operational? ,Policy 4 Years Operational,column,
Would you like to report another policy or policy initiative?,,,
Please enter the name of the policy or policy initiative. ,Policy 5 Name,column,
"Please select the main industry/sector of your racial equity policy or policy initiative, named {{ Q75 }}. ",Policy 5 Industry Area,column,
Workplace Culture,Workplace Culture,response,Policy 5 Equity Topics
Policy and Advocacy,Policy and Advocacy,response,Policy 5 Equity Topics
Addressing Hate and White Supremacy,Addressing Hate and White Supremacy,response,Policy 5 Equity Topics
"Children, Families, and Youth Development","Children, Families, and Youth Development",response,Policy 5 Equity Topics
Community Planning: Land and Transportation,Community Planning: Land and Transportation,response,Policy 5 Equity Topics
Criminal Justice,Criminal Justice,response,Policy 5 Equity Topics
Employment and Labor,Employment and Labor,response,Policy 5 Equity Topics
Environmental Justice,Environmental Justice,response,Policy 5 Equity Topics
Food Justice,Food Justice,response,Policy 5 Equity Topics
Health and Healthcare,Health and Healthcare,response,Policy 5 Equity Topics
Housing,Housing,response,Policy 5 Equity Topics
Immigration & Refugee Rights,Immigration & Refugee Rights,response,Policy 5 Equity Topics
Language Justice,Language Justice,response,Policy 5 Equity Topics
Media & Technology,Media & Technology,response,Policy 5 Equity Topics
Philanthropy,Philanthropy,response,Policy 5 Equity Topics
Reparations,Reparations,response,Policy 5 Equity Topics
Reproductive Justice,Reproductive Justice,response,Policy 5 Equity Topics
"Trauma, Violence, and Healing","Trauma, Violence, and Healing",response,Policy 5 Equity Topics
Voting Rights and Democracy Building,Voting Rights and Democracy Building,response,Policy 5 Equity Topics
Other (please specify),Other (please specify),response,Policy 5 Equity Topics
"Please enter a brief description of your racial equity policy or policy initiative named {{ Q75 }}. This description will appear on the Racial Equity Collective mapping tool, so please write it as you would like it to appear. ",Policy 5 Description,column,
How long has {{ Q75 }} been operational? ,Policy 5 Years Operational,column,
"In a few words, what is your organization's biggest challenge to advancing racial equity?",Racial Equity Challenge,column,
"Is your organization’s most senior leader (e.g., Chief Executive Officer, President, Chair) an individual who is Black, Indigenous, Latino, or a person of color?",BIPOC Staff: Senior Leader,column,
"In your estimation, what percentage of leadership staff (e.g., Chief of…, program directors, senior managers, etc.) in your organization are Black, Indigenous, Latino, or people of color?",BIPOC Staff: Leadership Percentage,column,
"In your estimation, does more than 50% of your board identify as Black, Indigenous, Latino, or a person of color?",BIPOC Staff: Majority,column,
Please choose which range below captures the total size of your organization’s paid staff.,Organization: Staff Size Range,column,
"In your estimation, what percentage of the entire staff in your organization are Black, Indigenous, Latino, or people of color?",BIPOC Staff: Percentage,column,
Do we have consent to feature the information gathered in this form on the Racial Equity Collective mapping tool? Reminder: only the questions labeled with the icon  will be used in the mapping tool. ,Consent,column,
Name,Racial Equity Contact: Name,column,
Phone number,Racial Equity Contact: Phone,column,
Email,Racial Equity Contact: Email,column,
Other Organization 1 Name,Other Organization 1 Name,column,
Other Organization 1 Email,Other Organization 1 Email,column,
Other Organization 2 Name,Other Organization 2 Name,column,
Other Organization 2 Email,Other Organization 2 Email,column,
Other Organization 3 Name,Other Organization 3 Name,column,
Other Organization 3 Email,Other Organization 3 Email,column,
